_id,id_local,id_distrito_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,Nombre,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,,__1,__2,__3,__4,__5,__6,__7,inspeccionar,estado,revision.prox_inspeccion,revision.puntuacion,revision.comentario
3842,80001018,8,FUENCARRAL-EL PARDO,LA PAZ,CALLE,25,28029,"440434,62","4481172,55",Abierto,BAR EL PAISA,2,Estacional,1,Abierta,"6,16",CALLE,FINISTERRE,25,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,7,,14,,,,,,,,,,false,2,10,80,separar las mesas
3843,280048800,8,FUENCARRAL-EL PARDO,VALVERDE,CALLE,1,28050,"442980,62","4483931,53",Abierto,BAR-RESTAURANTE,2,Estacional,1,Abierta,"17,32",CALLE,VILORIA DE LA RIOJA,36,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,2,,12,,32,A,,,,,,,,,true,,10,80,separar las mesas
3845,280007593,1,CENTRO,PALACIO,COSTANILLA,2,28005,"439664,6","4473900,53",Abierto,EL ARROZAL,2,Estacional,1,Abierta,"16,2",CALLE,SEGOVIA,13,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,5,,20,,,,,,,,,,false,2,10,80,separar las mesas
3846,270326583,7,CHAMBERI,ARAPILES,CALLE,79,28015,"439915,6","4476662,54",Abierto,MARISQUERIA 79,1,Anual,1,Abierta,"16,52",CALLE,VALLEHERMOSO,79,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,9,9,22,,,,,,,,,,false,3,10,80,separar las mesas
3847,270545451,7,CHAMBERI,ARAPILES,CALLE,52,28015,"439917,6","4476365,54",Abierto,RESTAURANTE EL VALLE,1,Anual,1,Abierta,"14,58",CALLE,VALLEHERMOSO,52,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,0,0,5,5,18,,,,,,,,,,false,2,10,80,separar las mesas
3849,270277129,5,CHAMARTIN,EL VISO,CALLE,7,28036,"441593,6","4477996,52",Abierto,LA MANON,2,Estacional,1,Abierta,"10,47",CALLE,GUTIERREZ SOLANA,2,,Acera,8:00:00,00:00:00,10:00:00,0:00:00,8:00:00,1:30:00,10:00:00,0:00:00,0,0,10,10,40,,,,,,,,,,false,3,10,80,separar las mesas
3851,50000957,5,CHAMARTIN,CASTILLA,AVENIDA,19,28036,"442685,61","4480572,52",Abierto,VIPS,1,Anual,1,Abierta,"22,23",AVENIDA,BURGOS,19,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,2,0,16,16,40,,,,,,,,,,true,,10,80,separar las mesas
3852,280023156,5,CHAMARTIN,CASTILLA,AVENIDA,34,28036,"442805,61","4481251,52",Abierto,SR,1,Anual,1,Abierta,"25,55",AVENIDA,BURGOS,34,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,2,0,14,14,46,,,,,,,,,,true,,10,80,separar las mesas
3854,285000031,4,SALAMANCA,RECOLETOS,CALLE,9,28001,"441754,59","4475067,52",Abierto,CERVECERIA PITTU,1,Anual,1,Abierta,"18,9",CALLE,CLAUDIO COELLO,30,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,9,9,19,,,,,,,,,,false,2,10,80,separar las mesas
3855,280004161,4,SALAMANCA,RECOLETOS,CALLE,7,28001,"442255,58","4474988,51",Abierto,SHUZOS BAR,2,Estacional,1,Abierta,"12,16",CALLE,JORGE JUAN,52,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,6,,12,,,,,,,,,,false,2,10,80,separar las mesas
